date,max_supply,total_supply,the_open_network_foundation,frozen,issued_supply,backers,the_locker,dns_locked,telegram,inactive_early_wallet,mining_smart_contracts,circulating_supply_first_principles,circulating_supply_api
2021-12-15,5050293840,5050293840,0,0,2453286056,0,0,0,0,0,2597007784,2453286056,2453286056
2021-12-16,5050361949,5050361949,0,0,2509702402,0,0,0,0,0,2540659548,2509702402,2509702402
2021-12-17,5050429923,5050429923,0,0,2510000861,0,0,0,0,0,2540429062,2510000861,2510000861
2021-12-18,5050497966,5050497966,0,0,2592880848,0,0,0,0,0,2457617117,2592880848,2592880848
2021-12-19,5050566402,5050566402,0,0,2688192059,0,0,0,0,0,2362374343,2688192059,2688192059
2021-12-20,5050634386,5050634386,0,0,2688453559,0,0,0,0,0,2362180827,2688453559,2688453559
2021-12-21,5050702371,5050702371,0,0,2738354603,0,0,0,0,0,2312347768,2738354603,2738354603
2021-12-22,5050770590,5050770590,0,0,2738648155,0,0,0,0,0,2312122435,2738648155,2738648155
2021-12-23,5050838636,5050838636,0,0,2738908862,0,0,0,0,0,2311929774,2738908862,2738908862
2021-12-24,5050905701,5050905701,0,0,2739179077,0,0,0,0,0,2311726624,2739179077,2739179077
2021-12-25,5050973980,5050973980,0,0,2739433589,0,0,0,0,0,2311540391,2739433589,2739433589
2021-12-26,5051042692,5051042692,0,0,2739696090,0,0,0,0,0,2311346602,2739696090,2739696090
2021-12-27,5051111033,5051111033,0,0,2739957210,0,0,0,0,0,2311153823,2739957210,2739957210
2021-12-28,5051178984,5051178984,0,0,2740203688,0,0,0,0,0,2310975296,2740203688,2740203688
2021-12-29,5051247497,5051247497,0,0,2740446008,0,0,0,0,0,2310801489,2740446008,2740446008
2021-12-30,5051315461,5051315461,0,0,2740678283,0,0,0,0,0,2310637178,2740678283,2740678283
2021-12-31,5051383940,5051383940,0,0,2740951269,0,0,0,0,0,2310432671,2740951269,2740951269
2022-01-01,5051452740,5051452740,0,0,2741207269,0,0,0,0,0,2310245471,2741207269,2741207269
2022-01-02,5051521911,5051521911,0,0,2741471177,0,0,0,0,0,2310050734,2741471177,2741471177
2022-01-03,5051591450,5051591450,0,0,2741715694,0,0,0,0,0,2309875756,2741715694,2741715694
2022-01-04,5051660190,5051660190,0,0,2741970932,0,0,0,0,0,2309689258,2741970932,2741970932
2022-01-05,5051728741,5051728741,0,0,2742236241,0,0,0,0,0,2309492500,2742236241,2742236241
2022-01-06,5051798165,5051798165,0,0,2742495642,0,0,0,0,0,2309302523,2742495642,2742495642
2022-01-07,5051867952,5051867952,0,0,2742753231,0,0,0,0,0,2309114721,2742753231,2742753231
2022-01-08,5051937442,5051937442,0,0,2743013534,0,0,0,0,0,2308923908,2743013534,2743013534
2022-01-09,5052007636,5052007636,0,0,2743309496,0,0,0,0,0,2308698140,2743309496,2743309496
2022-01-10,5052077503,5052077503,0,0,2743564699,0,0,0,0,0,2308512805,2743564699,2743564699
2022-01-11,5052147584,5052147584,0,0,2743820076,0,0,0,0,0,2308327508,2743820076,2743820076
2022-01-12,5052218172,5052218172,0,0,2744086834,0,0,0,0,0,2308131338,2744086834,2744086834
2022-01-13,5052288261,5052288261,0,0,2744352085,0,0,0,0,0,2307936176,2744352085,2744352085
2022-01-14,5052358103,5052358103,0,0,2744614589,0,0,0,0,0,2307743514,2744614589,2744614589
2022-01-15,5052428538,5052428538,0,0,2900065156,0,0,0,0,0,2152363382,2900065156,2900065156
2022-01-16,5052498160,5052498160,0,0,2900329037,0,0,0,0,0,2152169123,2900329037,2900329037
2022-01-17,5052567868,5052567868,0,0,2900573436,0,0,0,0,0,2151994431,2900573436,2900573436
2022-01-18,5052638085,5052638085,0,0,2900826648,0,0,0,0,0,2151811437,2900826648,2900826648
2022-01-19,5052707654,5052707654,0,0,2901099570,0,0,0,0,0,2151608084,2901099570,2901099570
2022-01-20,5052777161,5052777161,0,0,2901343598,0,0,0,0,0,2151433562,2901343598,2901343598
2022-01-21,5052847052,5052847052,0,0,2901599785,0,0,0,0,0,2151247266,2901599785,2901599785
2022-01-22,5052916438,5052916438,0,0,2901891960,0,0,0,0,0,2151024477,2901891960,2901891960
