DATE,PUBLIC_DISTRIBUTION_DAILY,FLARE_LABS_DAILY,FLARE_VC_FUND_DAILY,FLARE_FOUNDATION_DAILY,FOUNDING_TEAM_DAILY,REST_TEAM_ADVISORS_DAILY,BACKERS_DAILY,BURNS_DAILY,TOTAL_UNLOCKS_DAILY,FOUNDATION_UNLOCKS_DAILY,CUMULATIVE_FOUNDATION_UNLOCKS,TEAM_UNLOCKS_DAILY,CUMULATIVE_TEAM_UNLOCKS,NET_SUPPLY_CHANGE,CUMULATIVE_INFLATION,CUMULATIVE_UNLOCKS,CUMULATIVE_BURNS
2023-05-29,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12053376032.387090,17966129.032258,8760638709.677428,56822601.193548,0,20814014742.064518,0.000000
2023-05-30,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12092232504.548380,17966129.032258,8778604838.709686,56822601.193548,0,20870837343.258066,0.000000
2023-05-31,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12131088976.709670,17966129.032258,8796570967.741944,56822601.193548,0,20927659944.451614,0.000000
2023-06-01,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12169945448.870960,17966129.032258,8814537096.774202,56822601.193548,0,20984482545.645162,0.000000
2023-06-02,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12208801921.032250,17966129.032258,8832503225.806460,56822601.193548,0,21041305146.838710,0.000000
2023-06-03,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12247658393.193540,17966129.032258,8850469354.838718,56822601.193548,0,21098127748.032258,0.000000
2023-06-04,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12286514865.354830,17966129.032258,8868435483.870976,56822601.193548,0,21154950349.225806,0.000000
2023-06-05,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12325371337.516120,17966129.032258,8886401612.903234,56822601.193548,0,21211772950.419354,0.000000
2023-06-06,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12364227809.677410,17966129.032258,8904367741.935492,56822601.193548,0,21268595551.612902,0.000000
2023-06-07,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12403084281.838700,17966129.032258,8922333870.967750,56822601.193548,0,21325418152.806450,0.000000
2023-06-08,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,0.000000,0.000000,56822601.193548,38856472.161290,12441940753.999990,17966129.032258,8940300000.000008,56822601.193548,0,21382240753.999998,0.000000
2023-06-09,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12482092441.899990,18565000.000000,8958865000.000008,58716687.900000,0,21440957441.899998,0.000000
2023-06-10,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12522244129.799990,18565000.000000,8977430000.000008,58716687.900000,0,21499674129.799998,0.000000
2023-06-11,22534687.900000,9875000.000000,7900000.000000,7742000.000000,5530000.000000,5135000.000000,0.000000,0.000000,58716687.900000,40151687.900000,12562395817.699990,18565000.000000,8995995000.000008,58716687.900000,0,21558390817.699998,0.000000
