date,Total_Monthly,Airdrop,Binance_Launchpool,Public_Sale,Private_Round,Strategic,Institution,Ecosystem_Community,Foundation,Airdrop_2,Team,Advisor
2025-03-18,13811805.56,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,0.00,1866666.67
2025-04-18,13811805.56,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,0.00,1866666.67
2025-05-18,13811805.56,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,0.00,1866666.67
2025-06-18,13811805.56,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,0.00,1866666.67
2025-07-18,13811805.56,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,0.00,1866666.67
2025-08-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2025-09-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2025-10-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2025-11-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2025-12-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-01-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-02-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-03-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-04-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-05-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-06-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-07-18,15895138.89,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,1866666.67
2026-08-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2026-09-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2026-10-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2026-11-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2026-12-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-01-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-02-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-03-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-04-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-05-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-06-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-07-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-08-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-09-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-10-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-11-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2027-12-18,14028472.22,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,2083333.33,0.00
2028-01-18,7331250.00,0.00,0.00,0.00,0.00,0.00,0.00,3372916.67,1875000.00,0.00,2083333.33,0.00
2028-02-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
2028-03-18,3958333.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1875000.00,0.00,2083333.33,0.00
