date,end_user_grant,foundation,node_running_grant,participation_rewards,public_sale,team_and_investors
2024-02-01,234731344.64514,500000000,2500000000.00001,1643119412.51601,2816776135.74171,2000000000
2024-03-01,238973271.30085,500000000,2500000000.00001,1672812899.10605,2867679255.61036,2000000000
2024-04-01,243078361.61284,500000000,2500000000.00001,1701548531.28996,2916940339.35421,2000000000
2024-05-01,247320288.26856,500000000,2500000000.00001,1731242017.88,2967843459.22285,2000000000
2024-06-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2024-07-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2024-08-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2024-09-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2024-10-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2024-11-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2024-12-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-01-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-02-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-03-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-04-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-05-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-06-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-07-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-08-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-09-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
2025-10-01,250000000.0,500000000,2500000000.00001,1750000000.00005,3000000000.00008,2000000000
