date,premine_unlocks_native,circulating_supply_native
2022-01-22,"1,367,989.06","363,885,088.92"
2022-01-23,"1,367,989.06","365,253,077.98"
2022-01-24,"1,367,989.06","366,621,067.03"
2022-01-25,"1,367,989.06","367,989,056.09"
2022-01-26,"1,367,989.06","369,357,045.14"
2022-01-27,"1,367,989.06","370,725,034.20"
2022-01-28,"1,367,989.06","372,093,023.26"
2022-01-29,"1,367,989.06","373,461,012.31"
2022-01-30,"1,367,989.06","374,829,001.37"
2022-01-31,"1,367,989.06","376,196,990.42"
2022-02-01,"1,367,989.06","377,564,979.48"
2022-02-02,"1,367,989.06","378,932,968.54"
2022-02-03,"1,367,989.06","380,300,957.59"
2022-02-04,"1,367,989.06","381,668,946.65"
2022-02-05,"1,367,989.06","383,036,935.70"
2022-02-06,"1,367,989.06","384,404,924.76"
2022-02-07,"1,367,989.06","385,772,913.82"
2022-02-08,"1,367,989.06","387,140,902.87"
2022-02-09,"1,367,989.06","388,508,891.93"
2022-02-10,"1,367,989.06","389,876,880.98"
2022-02-11,"1,367,989.06","391,244,870.04"
2022-02-12,"1,367,989.06","392,612,859.10"
2022-02-13,"1,367,989.06","393,980,848.15"
2022-02-14,"1,367,989.06","395,348,837.21"
2022-02-15,"1,367,989.06","396,716,826.27"
2022-02-16,"1,367,989.06","398,084,815.32"
2022-02-17,"1,367,989.06","399,452,804.38"
2022-02-18,"1,367,989.06","400,820,793.43"
2022-02-19,"1,367,989.06","402,188,782.49"
2022-02-20,"1,367,989.06","403,556,771.55"
2022-02-21,"1,367,989.06","404,924,760.60"
2022-02-22,"1,367,989.06","406,292,749.66"
2022-02-23,"1,367,989.06","407,660,738.71"
2022-02-24,"1,367,989.06","409,028,727.77"
2022-02-25,"1,367,989.06","410,396,716.83"
2022-02-26,"1,367,989.06","411,764,705.88"
2022-02-27,"1,367,989.06","413,132,694.94"
2022-02-28,"1,367,989.06","414,500,683.99"
2022-03-01,"1,367,989.06","415,868,673.05"
2022-03-02,"1,367,989.06","417,236,662.11"
2022-03-03,"1,367,989.06","418,604,651.16"
2022-03-04,"1,367,989.06","419,972,640.22"
2022-03-05,"1,367,989.06","421,340,629.27"
2022-03-06,"1,367,989.06","422,708,618.33"
2022-03-07,"1,367,989.06","424,076,607.39"
2022-03-08,"1,367,989.06","425,444,596.44"
2022-03-09,"1,367,989.06","426,812,585.50"
2022-03-10,"1,367,989.06","428,180,574.56"
2022-03-11,"1,367,989.06","429,548,563.61"
2022-03-12,"1,367,989.06","430,916,552.67"
2022-03-13,"1,367,989.06","432,284,541.72"
2022-03-14,"1,367,989.06","433,652,530.78"
2022-03-15,"1,367,989.06","435,020,519.84"
2022-03-16,"1,367,989.06","436,388,508.89"
2022-03-17,"1,367,989.06","437,756,497.95"
2022-03-18,"1,367,989.06","439,124,487.00"
2022-03-19,"1,367,989.06","440,492,476.06"
2022-03-20,"1,367,989.06","441,860,465.12"
2022-03-21,"1,367,989.06","443,228,454.17"
2022-03-22,"1,367,989.06","444,596,443.23"
2022-03-23,"1,367,989.06","445,964,432.28"
2022-03-24,"1,367,989.06","447,332,421.34"
2022-03-25,"1,367,989.06","448,700,410.40"
2022-03-26,"1,367,989.06","450,068,399.45"
2022-03-27,"1,367,989.06","451,436,388.51"
2022-03-28,"1,367,989.06","452,804,377.56"
2022-03-29,"1,367,989.06","454,172,366.62"
2022-03-30,"1,367,989.06","455,540,355.68"
2022-03-31,"1,367,989.06","456,908,344.73"
2022-04-01,"1,367,989.06","458,276,333.79"
2022-04-02,"1,367,989.06","459,644,322.85"
2022-04-03,"1,367,989.06","461,012,311.90"
2022-04-04,"1,367,989.06","462,380,300.96"
2022-04-05,"1,367,989.06","463,748,290.01"
2022-04-06,"1,367,989.06","465,116,279.07"
2022-04-07,"1,367,989.06","466,484,268.13"
2022-04-08,"1,367,989.06","467,852,257.18"
2022-04-09,"1,367,989.06","469,220,246.24"
2022-04-10,"1,367,989.06","470,588,235.29"
2022-04-11,"1,367,989.06","471,956,224.35"
2022-04-12,"1,367,989.06","473,324,213.41"
2022-04-13,"1,367,989.06","474,692,202.46"
2022-04-14,"1,367,989.06","476,060,191.52"
2022-04-15,"1,367,989.06","477,428,180.57"
2022-04-16,"1,367,989.06","478,796,169.63"
2022-04-17,"1,367,989.06","480,164,158.69"
2022-04-18,"1,367,989.06","481,532,147.74"
2022-04-19,"1,367,989.06","482,900,136.80"
2022-04-20,"1,367,989.06","484,268,125.85"
2022-04-21,"1,367,989.06","485,636,114.91"
2022-04-22,"1,367,989.06","487,004,103.97"
2022-04-23,"1,367,989.06","488,372,093.02"
2022-04-24,"1,367,989.06","489,740,082.08"
2022-04-25,"1,367,989.06","491,108,071.14"
2022-04-26,"1,367,989.06","492,476,060.19"
2022-04-27,"1,367,989.06","493,844,049.25"
2022-04-28,"1,367,989.06","495,212,038.30"
2022-04-29,"1,367,989.06","496,580,027.36"
2022-04-30,"1,367,989.06","497,948,016.42"
2022-05-01,"1,367,989.06","499,316,005.47"
2022-05-02,"1,367,989.06","500,683,994.53"
2022-05-03,"1,367,989.06","502,051,983.58"
2022-05-04,"1,367,989.06","503,419,972.64"
2022-05-05,"1,367,989.06","504,787,961.70"
2022-05-06,"1,367,989.06","506,155,950.75"
2022-05-07,"1,367,989.06","507,523,939.81"
2022-05-08,"1,367,989.06","508,891,928.86"
2022-05-09,"1,367,989.06","510,259,917.92"
2022-05-10,"1,367,989.06","511,627,906.98"
2022-05-11,"1,367,989.06","512,995,896.03"
2022-05-12,"1,367,989.06","514,363,885.09"
2022-05-13,"1,367,989.06","515,731,874.15"
2022-05-14,"1,367,989.06","517,099,863.20"
2022-05-15,"1,367,989.06","518,467,852.26"
2022-05-16,"1,367,989.06","519,835,841.31"
2022-05-17,"1,367,989.06","521,203,830.37"
2022-05-18,"1,367,989.06","522,571,819.43"
2022-05-19,"1,367,989.06","523,939,808.48"
2022-05-20,"1,367,989.06","525,307,797.54"
2022-05-21,"1,367,989.06","526,675,786.59"
2022-05-22,"1,367,989.06","528,043,775.65"
2022-05-23,"1,367,989.06","529,411,764.71"
2022-05-24,"1,367,989.06","530,779,753.76"
2022-05-25,"1,367,989.06","532,147,742.82"
2022-05-26,"1,367,989.06","533,515,731.87"
