date,team_supply,investors_supply,protocol_launch_supply,bonding_curve_supply,initial_emissions_program_supply,bonding_curve_dexs,community_supply,gross_emissions_native,premine_unlocks_native,net_change_supply_native,burns_native,circulating_supply_native
2022-08-10,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,710,766.42"
2022-08-11,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,730,018.25"
2022-08-12,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,749,270.07"
2022-08-13,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,768,521.90"
2022-08-14,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,787,773.72"
2022-08-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,807,025.55"
2022-08-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,826,277.37"
2022-08-17,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,845,529.20"
2022-08-18,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,864,781.02"
2022-08-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,884,032.85"
2022-08-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,903,284.67"
2022-08-21,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,922,536.50"
2022-08-22,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,941,788.32"
2022-08-23,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,961,040.15"
2022-08-24,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,980,291.97"
2022-08-25,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"481,999,543.80"
2022-08-26,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,018,795.62"
2022-08-27,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,038,047.45"
2022-08-28,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,057,299.27"
2022-08-29,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,076,551.09"
2022-08-30,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,095,802.92"
2022-08-31,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,115,054.74"
2022-09-01,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,134,306.57"
2022-09-02,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,153,558.39"
2022-09-03,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,172,810.22"
2022-09-04,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,192,062.04"
2022-09-05,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,211,313.87"
2022-09-06,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,230,565.69"
2022-09-07,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,249,817.52"
2022-09-08,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,269,069.34"
2022-09-09,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,288,321.17"
2022-09-10,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,307,572.99"
2022-09-11,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,326,824.82"
2022-09-12,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,346,076.64"
2022-09-13,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,365,328.47"
2022-09-14,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,384,580.29"
2022-09-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,403,832.12"
2022-09-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,423,083.94"
2022-09-17,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,442,335.77"
2022-09-18,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,461,587.59"
2022-09-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,480,839.42"
2022-09-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,500,091.24"
2022-09-21,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,519,343.07"
2022-09-22,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,538,594.89"
2022-09-23,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,557,846.72"
2022-09-24,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,577,098.54"
2022-09-25,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,596,350.36"
2022-09-26,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,615,602.19"
2022-09-27,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,634,854.01"
2022-09-28,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,654,105.84"
2022-09-29,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,673,357.66"
2022-09-30,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,692,609.49"
2022-10-01,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,711,861.31"
2022-10-02,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,731,113.14"
2022-10-03,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,750,364.96"
2022-10-04,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,769,616.79"
2022-10-05,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,788,868.61"
2022-10-06,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,808,120.44"
2022-10-07,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,827,372.26"
2022-10-08,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,846,624.09"
2022-10-09,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,865,875.91"
2022-10-10,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,885,127.74"
2022-10-11,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,904,379.56"
2022-10-12,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,923,631.39"
2022-10-13,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,942,883.21"
2022-10-14,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,962,135.04"
2022-10-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"482,981,386.86"
2022-10-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,000,638.69"
2022-10-17,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,019,890.51"
2022-10-18,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,039,142.34"
2022-10-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,058,394.16"
2022-10-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,077,645.99"
2022-10-21,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,096,897.81"
2022-10-22,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,116,149.64"
2022-10-23,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,135,401.46"
2022-10-24,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,154,653.28"
2022-10-25,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,173,905.11"
2022-10-26,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,193,156.93"
2022-10-27,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,212,408.76"
2022-10-28,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,231,660.58"
2022-10-29,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,250,912.41"
2022-10-30,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,270,164.23"
2022-10-31,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,289,416.06"
2022-11-01,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,308,667.88"
2022-11-02,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,327,919.71"
2022-11-03,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,347,171.53"
2022-11-04,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,366,423.36"
2022-11-05,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,385,675.18"
2022-11-06,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,404,927.01"
2022-11-07,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,424,178.83"
2022-11-08,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,443,430.66"
2022-11-09,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,462,682.48"
2022-11-10,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,481,934.31"
2022-11-11,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,501,186.13"
2022-11-12,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,520,437.96"
2022-11-13,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,539,689.78"
2022-11-14,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,558,941.61"
2022-11-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,578,193.43"
2022-11-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,597,445.26"
2022-11-17,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,616,697.08"
2022-11-18,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,635,948.91"
2022-11-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,655,200.73"
2022-11-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"483,674,452.55"
